src,brand,prod_name,prod_price,prod_discount,prod_link,prod_thumbnail,2차분류
toun28,toun28,얼굴용 (지성/민감성) S6 구아줄렌,1100,1100,https://www.toun28.com/renew/product/34,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/34/공통_S6_thum.png,페이셜비누
toun28,toun28,얼굴용 (문제성피부) S7 노니+타마누,1100,1100,https://www.toun28.com/renew/product/35,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/35/공통_S7_thum.png,페이셜비누
toun28,toun28,얼굴용 (모공관리) S8 유황+소금,1100,1100,https://www.toun28.com/renew/product/36,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/36/공통_S8_thum.png,페이셜비누
toun28,toun28,얼굴용 (민감 문제성피부) S9 어성초+병풀,1100,1100,https://www.toun28.com/renew/product/37,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/37/공통_S9_thum.png,페이셜비누
toun28,toun28,얼굴용 (피부탄력보습) S10 세라마이드+비피다,1100,1100,https://www.toun28.com/renew/product/38,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/38/공통_S10_thum.png,페이셜비누
toun28,toun28,얼굴용 (보습지속) S11 세라마이드+스쿠알란,1100,1100,https://www.toun28.com/renew/product/39,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/39/공통_S11_thum.png,페이셜비누
toun28,toun28,아기용 S12 달맞이꽃오일,1200,1200,https://www.toun28.com/renew/product/45,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/45/공통_S12_thum.png,-
toun28,toun28,아기용 S14 초유,1200,1200,https://www.toun28.com/renew/product/47,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/47/공통_S14_thum.png,-
toun28,toun28,얼굴용 (탄력영양) S15 로얄젤리+프로폴리스,1100,1100,https://www.toun28.com/renew/product/42,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/42/공통_S15_thum.png,페이셜비누
toun28,toun28,얼굴용 (메이크업제거) S16 비타민나무오일,1100,1100,https://www.toun28.com/renew/product/43,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/43/공통_S16_thum.png,페이셜비누
toun28,toun28,얼굴용 (피지흡착) S17 아마존머드,1100,1100,https://www.toun28.com/renew/product/44,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/44/공통_S17_thum00.png,페이셜비누
toun28,toun28,세탁용 S13 EM발효액,800,800,https://www.toun28.com/renew/product/46,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/46/e13_sum.png,세제
toun28,toun28,T1 유분 0% 피부 보습,2300,2300,https://www.toun28.com/renew/product/75,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/75/list_T1.png,세럼
toun28,toun28,T2 맑고 환한 피부빛 관리,2300,2300,https://www.toun28.com/renew/product/76,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/76/공통_T2_thum.png,세럼
toun28,toun28,T3 윤기나는 피부결 관리,2300,2300,https://www.toun28.com/renew/product/77,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/77/공통_T3_thum.png,세럼
toun28,toun28,T4 피부 진정,2300,2300,https://www.toun28.com/renew/product/78,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/78/list_T4.png,세럼
toun28,toun28,T5 피지 케어,2300,2300,https://www.toun28.com/renew/product/79,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/79/list_T5.png,세럼
toun28,toun28,T6 피부 보습 장벽 강화,2300,2300,https://www.toun28.com/renew/product/80,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/80/list_T6.png,세럼
toun28,toun28,T7 탄력있고 건강한 피부,2300,2300,https://www.toun28.com/renew/product/81,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/81/list_T7.png,세럼
toun28,toun28,T8 깨끗하고 건강한 피부,2300,2300,https://www.toun28.com/renew/product/82,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/82/공통_T8_thum.png,세럼
toun28,toun28,T9 보습 지속,2300,2300,https://www.toun28.com/renew/product/83,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/83/list_T9.png,세럼
toun28,toun28,회상(回想) 아로마틱 바디 스크럽 워시 세트,3230,3230,https://www.toun28.com/renew/product/386,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/386/scrub_400.png,-
toun28,toun28,회상(回想) 아로마틱 바디 로션 세트,3230,3230,https://www.toun28.com/renew/product/387,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/387/lotion_400.png,-
toun28,toun28,회상(回想) 아로마틱 바디 케어 세트,5700,5700,https://www.toun28.com/renew/product/385,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/385/lotion_scrub_280.png,-
toun28,toun28,덴티크러쉬 고체치약 & 칫솔 세트,3800,3800,https://www.toun28.com/renew/product/388,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/388/4_385_280.png,-
toun28,toun28,BEST HAIR SET (샴푸바 3종+트리트먼트바),3550,3550,https://www.toun28.com/renew/product/331,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/331/221205_HAIR_280.png,-
toun28,toun28,"DISCOVERY KIT(미니바 4종, 여행용)",1920,1920,https://www.toun28.com/renew/product/334,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/334/221205_DIS_280.png,-
toun28,toun28,BODY&HOME SET (바디오일+바디로션+캔들),4990,4990,https://www.toun28.com/renew/product/333,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/333/BODY_280_1.png,-
toun28,toun28,<3+1> 샴푸바 (모발보습케어) S19 바오밥 3개입+노워시 트리트먼트바 증정,3300,3300,https://www.toun28.com/renew/product/12,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/12/s19_sum.png,샴푸바
toun28,toun28,<3+1> 샴푸바 (두피장벽강화) S21 검은콩 3개입+노워시 트리트먼트바 증정,3300,3300,https://www.toun28.com/renew/product/14,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/14/mini_S21_treat.png,샴푸바
toun28,toun28,<3+1> 샴푸바 (지성/각질케어) S18 다시마 3개입+노워시 트리트먼트바 증정,3300,3300,https://www.toun28.com/renew/product/11,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/11/mini_S18_treat.png,샴푸바
